MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
FORD,FOCUS,510.94,183.1,35.83591028300779
FORD,FOCUS,440.44,112.61,25.56761420397784
FORD,FIVE HUNDRED,677.55,289.8,42.77175116227585
FORD,MUSTANG,378.71,183.66,48.49621082094479
FORD,ESCAPE,416.11,129.77,31.186465117396843
AUDI,A6,529.59,223.1,42.126928378557
FORD,EXPLORER,1262.26,838.52,66.43005403007304
FORD,FOCUS,626.81,181.46,28.94976149072287
BMW,530I,402.89,116.56,28.93097371490978
FORD,E-350,369.79,41.77,11.295600205522053
FORD,EXPLORER,490.2,149.24,30.444716442268465
FORD,FOCUS,702.52,95.77,13.632352103854695
FORD,EXCURSION,602.34,274.5,45.572268154198625
BMW,325I,447.44,119.6,26.72984087251922
FORD,FOCUS,393.15,95.36,24.255373267200817
FORD,MUSTANG,464.29,263.9,56.83947532792004
BMW,325,462.32,345.41,74.71232047066967
FORD,TAURUS,488.25,327.1,66.99436763952895
